,T [K],Time [s],Hardness [HV],C,Mn,Si,Cr,V,W,dataset,DROP,Mo,Ni,Co,Al,Cu,Ti,N,B,S,Izod [J]
80,866.4833333333333,3600.0,177.87154990402794,0.18,0.3,0.0,0.0,0.0,0.0,Grange,False,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
81,922.0388888888888,3600.0,178.31942670861395,0.18,0.3,0.0,0.0,0.0,0.0,Grange,False,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
82,866.4833333333333,3600.0,178.46312483697022,0.18,0.3,0.0,0.0,0.0,0.0,Grange,False,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
83,922.0388889,3600.0,178.4989076,0.2,0.64,0.0,0.0,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
84,923.0,5400.0,179.1117096,0.62,0.0,0.0,0.0,0.0,0.0,Ohmura,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
85,973.0,10800.0,179.37485,0.23,0.99,0.15,0.16,0.0,0.0,Mukherjee,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0081,0.0,0.02,
86,922.0388888888888,3600.0,179.4176902364066,0.19,0.3,0.0,0.4,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
87,977.5944444444444,3600.0,179.8222911174576,0.19,0.53,0.56,0.0,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
88,977.5944444444444,3600.0,180.14049963418867,0.19,0.5,0.0,0.0,0.075,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
89,922.0388889,3600.0,181.153529,0.2,0.5,0.0,0.0,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
90,977.5944444444444,3600.0,182.100792187,0.335,1.5,0.0,0.0,0.0,0.0,handbook,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,115.2448614350019
91,810.9277777777778,3600.0,182.100792187,0.39,0.71,0.15,0.0,0.0,0.0,handbook,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,82.7051358533543
92,810.9277777777778,3600.0,182.100792187,0.31,0.65,0.14,0.0,0.0,0.0,handbook,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,125.00677910949618
93,977.5944444444444,3600.0,182.100792187,0.31,0.75,0.0,0.0,0.0,0.0,handbook,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.58218992353164
94,866.4833333333333,3600.0,182.100792187,0.31,0.65,0.14,0.0,0.0,0.0,handbook,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,127.98958728781388
95,866.4833333333333,3600.0,182.1721243352613,0.18,0.3,0.0,0.0,0.0,0.0,Grange,False,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
96,823.0,5400.0,182.2540203,0.22,0.0,0.0,0.0,0.0,0.0,Ohmura,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
97,922.0388888888888,3600.0,184.3034539184271,0.19,0.53,0.56,0.0,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
98,977.5944444444444,3600.0,184.5300724013567,0.18,0.3,0.0,0.0,0.0,0.0,Grange,False,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
99,977.5944444444444,3600.0,184.7708291826707,0.19,0.53,0.85,0.0,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
